Mod Name,Iframe Link,Image URL
Friday Night Funkin’,https://fnf.kdata1.com/2025/fnf/7500/,https://kbhgames.com/wp-content/uploads/2020/11/Friday-Night-Funkin.png
FNF Gumballs,https://fnf.kdata1.com/2025/gumball/1/,https://kbhgames.com/wp-content/uploads/2025/10/FNF-Gumballs.jpg
Friday Night Funkin VS. KAPI v2,https://fnf.kdata1.com/kapi-arcade-showdown/2/,https://kbhgames.com/wp-content/uploads/2021/04/Friday-Night-Funkin-VS.-KAPI.jpg
FNF vs Indie Cross,https://kdata1.com/5000/2025/indiecross3/,https://kbhgames.com/wp-content/uploads/2025/01/FNF-vs-Indie-Cross-1.jpg
FNF Vs. Tricky Version 2.0 (Phase 3),https://fnf.run3.io/tricky2/4/,https://kbhgames.com/wp-content/uploads/2021/06/fnf-vs-tricky-version-2-0.jpg
FNF Kick Kick Funk Vs. Dan The Man,https://fnf.kdata1.com/2025/kick/2/,https://kbhgames.com/wp-content/uploads/2025/10/FNF-Kick-Kick-Funk-Vs.-Dan-The-Man-1.jpg
Friday Night Funkin’ Sarvente’s Mid-Fight Masses,https://fnf.run3.io/midfight/2/,https://kbhgames.com/wp-content/uploads/2021/04/friday-night-funkin-sarventes-mid-fight-masses-1.png
Friday Night Funkin’ V.S. Whitty Full Week,https://fnf.run3.io/whitty/5/,https://kbhgames.com/wp-content/uploads/2021/03/friday-night-funkin-v-s-whitty-full-week.png
Friday Night Funkin VS Garcello,https://fnf.run3.io/garcello/5/?32s,https://kbhgames.com/wp-content/uploads/2021/05/Friday-Night-Funkin-VS-Garcello.jpg
FNF vs Impostor Among Us V4,https://fnf.kdata1.com/impostor-v4/1.5/,https://kbhgames.com/wp-content/uploads/2023/01/FNF-vs-Impostor-Among-Us-V4-2.jpg
FNF Silly Billy vs Yourself,https://fnf.kdata1.com/2024/silly-billy-vs-yourself/1/,https://kbhgames.com/wp-content/uploads/2024/05/FNF-Silly-Billy-vs-Yourself.png
FNF: The Blueballs Incident (Trollge),https://fnf.run3.io/blueballs-incident-trollge/1.18/,https://kbhgames.com/wp-content/uploads/2021/06/fnf-the-blueballs-incident-trollge.jpg
Friday Night Funkin VS Sky Full Week,https://fnf.run3.io/sky/1.1/,https://kbhgames.com/wp-content/uploads/2021/04/Friday-Night-Funkin-VS-Sky-Full-Week.jpg
FNF Character Test Playground,https://fnf.run3.io/playground/1/,https://kbhgames.com/wp-content/uploads/2021/06/FNF-Character-Test-Playground.jpg
FNF Sweet Licorice,https://fnf.kdata1.com/2025/sweet-licorice/1/,https://kbhgames.com/wp-content/uploads/2025/10/FNF-Sweet-Licorice.jpg
Friday Night Funkin’ Pibby: Apocalypse,https://fnf.kdata1.com/pibby-apocalypse/1/,https://kbhgames.com/wp-content/uploads/2023/08/friday-night-funkin-pibby-apocalypse.jpg
FNF vs Bambi: Strident Crisis,https://fnf.kdata1.com/bambi-student-crisis/1.2/,https://kbhgames.com/wp-content/uploads/2022/03/fnf-vs-bambi-strident-crisis.jpg
FNF Vs Mario’s Madness V2,https://fnf.kdata1.com/2024/marios-madness-v2/2/,https://kbhgames.com/wp-content/uploads/2024/02/fnf-vs-marios-madness-v2.jpg
FNF vs QT Mod 2.0,https://fnf.kdata1.com/qt-mod/1.2/,https://kbhgames.com/wp-content/uploads/2021/07/friday-night-funkin-vs-qt-mod.png
Friday Night Funkin vs Shaggy v2,https://fnf.run3.io/shaggy/6.5/,https://kbhgames.com/wp-content/uploads/2021/05/friday-night-funkin-vs-shaggy.jpg
Friday Night Funkin vs AGOTI,https://fnf.run3.io/agoti/100/,https://kbhgames.com/wp-content/uploads/2021/05/Friday-Night-Funkin-vs-AGOTI.jpg
FNF Shucks V2 (Reconstruction),https://fnf.kdata1.com/2024/shucks-v2-reconstruction/1/,https://kbhgames.com/wp-content/uploads/2024/06/FNF-Shucks-V2-Reconstruction.jpg
FNF vs TABI Ex Boyfriend,https://fnf.run3.io/tabi/5/,https://kbhgames.com/wp-content/uploads/2021/05/FNF-vs-TABI-Ex-Boyfriend.jpg
FNF RUSH E but BOYFRIEND plays it on Piano,https://fnf.kdata1.com/rush-e-piano/1/,https://kbhgames.com/wp-content/uploads/2022/12/FNF-RUSH-E-but-BOYFRIEND-plays-it-on-Piano.jpg
FNF: Zardy Foolhardy Mod Pack,https://fnf.run3.io/zardy-foolhardy-pack/1/?ds,https://kbhgames.com/wp-content/uploads/2021/06/fnf-zardy-foolhardy-mod-pack.jpg
FNF vs Huggy Wuggy (Poppy Playtime),https://fnf.kdata1.com/huggy-wuggy/2.1/,https://kbhgames.com/wp-content/uploads/2021/10/friday-night-funkin-vs-huggy-wuggy-poppy-playtime.jpg
Friday Night Funkin’ + Hatsune Miku,https://fnf.run3.io/miku/1/,https://kbhgames.com/wp-content/uploads/2021/04/friday-night-funkin-hatsune-miku.jpg
FNF vs Impostor Among Us V3,https://fnf.run3.io/impostor/5.1/,https://kbhgames.com/wp-content/uploads/2021/04/friday-night-funkin-vs-impostor-full-week.jpg
Friday Night Funkin vs Accelerant Hank,https://fnf.run3.io/hank-accelerant/3/,https://kbhgames.com/wp-content/uploads/2021/10/friday-night-funkin-vs-accelerant-hank-1.jpg
FNF Rivals – Nene vs Cassandra,https://fnf.kdata1.com/2024/rivals/1/,https://kbhgames.com/wp-content/uploads/2024/05/FNF-Rivals.png
FNF QT: Rewired,https://fnf.kdata1.com/2025/qt-rewired/1/,https://kbhgames.com/wp-content/uploads/2025/02/fnf-qt-rewired.jpg
FNF Indie Cross – Crossed Out,https://fnf.kdata1.com/crossed-out/2.2/,https://kbhgames.com/wp-content/uploads/2022/08/FNF-Indie-Cross-Crossed-Out.jpg
FNF 2Hot – BF Mix,https://fnf.kdata1.com/2025/2hot-bf-mix/1.3/,https://kbhgames.com/wp-content/uploads/2025/01/fnf-2hot-bf-mix-1.jpg
Friday Night Funkin’ Vs Suicide Mouse v2,https://fnf.kdata1.com/suicide-mouse/2.5/,https://kbhgames.com/wp-content/uploads/2021/10/friday-night-funkin-vs-suicide-mouse-1.jpg
FNF: Darkness Takeover vs Pibby Family Guy,https://fnf.kdata1.com/darkness-takeover-vs-pibby-family-guy/1/,https://kbhgames.com/wp-content/uploads/2022/08/fnf-darkness-takeover-vs-pibby-family-guy.jpg
Friday Night Funkin’ VS Shaggy 2.5,https://fnf.run3.io/shaggy-pe/1.25/,https://kbhgames.com/wp-content/uploads/2021/10/friday-night-funkin-vs-shaggy-2-5.jpg
FNF Corruption Takeover,https://fnf.kdata1.com/corruption-takeover/1/,https://kbhgames.com/wp-content/uploads/2021/11/friday-night-funkin-corruption-takeover.jpg
FNF Vs Rewrite (Sonic.exe),https://fnf.kdata1.com/rewrite-sonic-exe/1.2/,https://kbhgames.com/wp-content/uploads/2023/01/fnf-vs-rewrite-sonic-exe.png
Friday Night Funkin’ Vs Tricky the Clown Mod,https://fnf.run3.io/tricky/1/,https://kbhgames.com/wp-content/uploads/2021/04/friday-night-funkin-the-tricky-mod.png
Friday Night Funkin’: Vs. Sonic.Exe,https://fnf.run3.io/sonicexe/1.5/?d,https://kbhgames.com/wp-content/uploads/2021/08/friday-night-funkin-vs-sonic-exe.png
FNF Baddies vs Stalker/Cassette Girl/Jazz,https://fnf.kdata1.com/baddies/1.12/,https://kbhgames.com/wp-content/uploads/2022/05/fnf-baddies-vs-stalker-cassette-girl-jazz.jpg
FNF QT Mod – Termination on Extreme difficulty!,https://fnf.run3.io/qt-mod-termination-on-extreme-difficulty/1/,https://kbhgames.com/wp-content/uploads/2021/10/fnf-qt-mod-termination-on-extreme-difficulty-1.jpg
FNF vs Dave and Bambi v3,https://fnf.kdata1.com/dave-bambi/32/,https://kbhgames.com/wp-content/uploads/2021/11/FNF-vs-Dave-and-Bambi-v3.jpg
Friday Night Funkin’ Pibby Corrupted,https://fnf.kdata1.com/2024/pibby-corrupted/1.5/,https://kbhgames.com/wp-content/uploads/2021/12/friday-night-funkin-pibby-corrupted.jpg
FUNKADELIX – FNF with Lyrics,https://fnf.kdata1.com/2024/funkadelix-fnf-with-lyrics/60/,https://kbhgames.com/wp-content/uploads/2024/06/funkadelix-fnf-with-lyrics.jpg
FNF Vs. Matt Boxing Fight,https://fnf.run3.io/matt-boxing-fight/1.11/?5,https://kbhgames.com/wp-content/uploads/2021/07/FNF-Vs.-Matt-Boxing-Fight-2.jpg
FNF: Spooky Mix,https://fnf.kdata1.com/2024/spooky-mix/123/,https://kbhgames.com/wp-content/uploads/2024/11/fnf-spooky-mix.jpg
FNF 2Hot BF-Mix with Lyrics,https://fnf.kdata1.com/2025/2hot-bf-mix-with-lyrics/2.1/,https://kbhgames.com/wp-content/uploads/2025/05/FNF-2Hot-BF-Mix-with-Lyrics-1.jpg
FNF Vs. Hypno’s Lullaby v2,https://fnf.kdata1.com/2025/lullaby22/,https://kbhgames.com/wp-content/uploads/2025/03/fnf-vs-hypnos-lullaby-v2.jpg
FNF vs TABI Revival,https://fnf.kdata1.com/2025/tabi-revival/1/,https://kbhgames.com/wp-content/uploads/2025/03/FNF-vs-TABI-Revival.jpg
FNF 2Hot with Lyrics Freestyled,https://fnf.kdata1.com/2024/2hot-with-lyrics-freestyled/,https://kbhgames.com/wp-content/uploads/2024/06/fnf-2hot-with-lyrics-freestyled.jpg
FNF vs Nonsense v2: A Nonsensical Friday Night,https://fnf.kdata1.com/nonsense/2.11/,https://kbhgames.com/wp-content/uploads/2021/07/FNF-vs-Nonsense.jpg
Friday Night Funkin’ vs Bob and Bosip (The Expansion Update),https://fnf.run3.io/bob-and-bosip/5/?343,https://kbhgames.com/wp-content/uploads/2021/06/Friday-Night-Funkin%E2%80%99-vs-Bob-and-Bosip.jpg
FNF Character Test Playground 2,https://fnf.run3.io/playground-2/1/,https://kbhgames.com/wp-content/uploads/2021/06/FNF-Character-Test-Playground2.jpg
"FNF Pibby vs Corrupted BF, Blueballed Fight for Control",https://fnf.kdata1.com/blueballed-pibby/1.5/,https://kbhgames.com/wp-content/uploads/2022/02/friday-night-funkin-pibby-vs-corrupted-bf-blueballed-fight-for-control.jpg
FNF Corruption Takeover – Pico Week Nexus,https://fnf.kdata1.com/corruption-takeover-pico-week-nexus/1.1/,https://kbhgames.com/wp-content/uploads/2022/07/fnf-corruption-takeover-pico-week-nexus.jpg
FNF: Falter Alters Prime Retake,https://fnf.kdata1.com/2024/falter-alters-prime-retake/1/,https://kbhgames.com/wp-content/uploads/2024/09/fnf-falter-alters-prime-retake-1.jpg
Friday Night Funkin Corruption: Reimagined!,https://fnf.kdata1.com/corruption-reimagined/1/,https://kbhgames.com/wp-content/uploads/2022/02/friday-night-funkin-corruption-reimagined.jpg
FNF vs Sonic.EXE 2.0,https://fnf.kdata1.com/sonic.exe/3/,https://kbhgames.com/wp-content/uploads/2021/11/friday-night-funkin-vs-sonic-exe-2-0.jpg
